year,month,carrier,carrier_name,airport,airport_name,year,month,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,violated_rule
2020,12,DL,Delta Air Lines Network,FAI,"Fairbanks, AK: Fairbanks International",2020,12,,,,,,,,,,,,,,,,cause_delays_sum_mismatch
2020,11,C5,"Commutair Aka Champlain Enterprises, Inc.",GSP,"Greer, SC: Greenville-Spartanburg International",2020,11,,,,,,,,,,,,,,,,cause_delays_sum_mismatch
2020,11,G7,GoJet Airlines LLC d/b/a United Express,LEX,"Lexington, KY: Blue Grass",2020,11,,,,,,,,,,,,,,,,cause_delays_sum_mismatch
2020,11,OO,SkyWest Airlines Inc.,ALB,"Albany, NY: Albany International",2020,11,,,,,,,,,,,,,,,,cause_delays_sum_mismatch
2020,11,OO,SkyWest Airlines Inc.,GPT,"Gulfport/Biloxi, MS: Gulfport-Biloxi International",2020,11,,,,,,,,,,,,,,,,cause_delays_sum_mismatch
2020,11,OO,SkyWest Airlines Inc.,GRK,"Killeen, TX: Robert Gray AAF",2020,11,,,,,,,,,,,,,,,,cause_delays_sum_mismatch
2020,11,OO,SkyWest Airlines Inc.,ROA,"Roanoke, VA: Roanoke Blacksburg Regional Woodrum Field",2020,11,,,,,,,,,,,,,,,,cause_delays_sum_mismatch
2020,11,OO,SkyWest Airlines Inc.,ROC,"Rochester, NY: Greater Rochester International",2020,11,,,,,,,,,,,,,,,,cause_delays_sum_mismatch
2020,11,YV,Mesa Airlines Inc.,BTV,"Burlington, VT: Burlington International",2020,11,,,,,,,,,,,,,,,,cause_delays_sum_mismatch
2020,11,YV,Mesa Airlines Inc.,LFT,"Lafayette, LA: Lafayette Regional Paul Fournet Field",2020,11,,,,,,,,,,,,,,,,cause_delays_sum_mismatch
2020,11,YV,Mesa Airlines Inc.,PVD,"Providence, RI: Theodore Francis Green State",2020,11,,,,,,,,,,,,,,,,cause_delays_sum_mismatch
2020,11,YX,Republic Airline,LNK,"Lincoln, NE: Lincoln Airport",2020,11,,,,,,,,,,,,,,,,cause_delays_sum_mismatch
2020,11,YX,Republic Airline,TVC,"Traverse City, MI: Cherry Capital",2020,11,,,,,,,,,,,,,,,,cause_delays_sum_mismatch
2020,10,9E,Endeavor Air Inc.,ORF,"Norfolk, VA: Norfolk International",2020,10,,,,,,,,,,,,,,,,cause_delays_sum_mismatch
2020,10,C5,"Commutair Aka Champlain Enterprises, Inc.",AVL,"Asheville, NC: Asheville Regional",2020,10,,,,,,,,,,,,,,,,cause_delays_sum_mismatch
2020,10,C5,"Commutair Aka Champlain Enterprises, Inc.",BGR,"Bangor, ME: Bangor International",2020,10,,,,,,,,,,,,,,,,cause_delays_sum_mismatch
2020,10,C5,"Commutair Aka Champlain Enterprises, Inc.",CHO,"Charlottesville, VA: Charlottesville Albemarle",2020,10,,,,,,,,,,,,,,,,cause_delays_sum_mismatch
2020,10,C5,"Commutair Aka Champlain Enterprises, Inc.",CHS,"Charleston, SC: Charleston AFB/International",2020,10,,,,,,,,,,,,,,,,cause_delays_sum_mismatch
2020,10,C5,"Commutair Aka Champlain Enterprises, Inc.",ILM,"Wilmington, NC: Wilmington International",2020,10,,,,,,,,,,,,,,,,cause_delays_sum_mismatch
2020,10,C5,"Commutair Aka Champlain Enterprises, Inc.",MDT,"Harrisburg, PA: Harrisburg International",2020,10,,,,,,,,,,,,,,,,cause_delays_sum_mismatch
2020,10,C5,"Commutair Aka Champlain Enterprises, Inc.",RIC,"Richmond, VA: Richmond International",2020,10,,,,,,,,,,,,,,,,cause_delays_sum_mismatch
2020,10,DL,Delta Air Lines Network,AGS,"Augusta, GA: Augusta Regional at Bush Field",2020,10,,,,,,,,,,,,,,,,cause_delays_sum_mismatch
2020,10,DL,Delta Air Lines Network,ATW,"Appleton, WI: Appleton International",2020,10,,,,,,,,,,,,,,,,cause_delays_sum_mismatch
2020,10,DL,Delta Air Lines Network,AVL,"Asheville, NC: Asheville Regional",2020,10,,,,,,,,,,,,,,,,cause_delays_sum_mismatch
2020,10,DL,Delta Air Lines Network,BUR,"Burbank, CA: Bob Hope",2020,10,,,,,,,,,,,,,,,,cause_delays_sum_mismatch
2020,10,DL,Delta Air Lines Network,LEX,"Lexington, KY: Blue Grass",2020,10,,,,,,,,,,,,,,,,cause_delays_sum_mismatch
2020,10,DL,Delta Air Lines Network,LGB,"Long Beach, CA: Long Beach Airport",2020,10,,,,,,,,,,,,,,,,cause_delays_sum_mismatch
2020,10,DL,Delta Air Lines Network,OAK,"Oakland, CA: Metropolitan Oakland International",2020,10,,,,,,,,,,,,,,,,cause_delays_sum_mismatch
2020,10,G7,GoJet Airlines LLC d/b/a United Express,GSP,"Greer, SC: Greenville-Spartanburg International",2020,10,,,,,,,,,,,,,,,,cause_delays_sum_mismatch
2020,10,OO,SkyWest Airlines Inc.,BOS,"Boston, MA: Logan International",2020,10,,,,,,,,,,,,,,,,cause_delays_sum_mismatch
2020,10,OO,SkyWest Airlines Inc.,CRW,"Charleston/Dunbar, WV: Yeager",2020,10,,,,,,,,,,,,,,,,cause_delays_sum_mismatch
2020,10,OO,SkyWest Airlines Inc.,DCA,"Washington, DC: Ronald Reagan Washington National",2020,10,,,,,,,,,,,,,,,,cause_delays_sum_mismatch
